               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.019212,            0.018741,            0.012072,             0.98745,             0.97853,             0.99104,             0.87985,            0.016936,            0.014339,            0.011271,            0.001552,            0.001552,            0.001552
                 130,            0.019449,            0.020665,            0.011805,             0.98758,             0.97848,             0.99099,             0.86182,            0.016117,            0.014097,            0.011264,            0.001486,            0.001486,            0.001486
                 131,            0.020031,            0.020516,             0.01209,             0.98738,             0.97848,             0.99113,              0.8604,            0.016707,             0.01443,            0.011242,             0.00142,             0.00142,             0.00142
                 132,             0.01895,            0.018922,            0.012001,             0.98735,             0.97853,              0.9912,              0.8557,            0.016889,            0.014526,            0.011205,            0.001354,            0.001354,            0.001354
                 133,            0.019043,            0.017872,             0.01228,             0.98725,               0.979,             0.99159,             0.85514,            0.016192,            0.014549,            0.011129,            0.001288,            0.001288,            0.001288
                 134,            0.018334,            0.020014,            0.011935,              0.9866,             0.97862,             0.99159,             0.88356,            0.015996,            0.014277,            0.011107,            0.001222,            0.001222,            0.001222
                 135,            0.019074,            0.018882,            0.011906,             0.98692,             0.97882,             0.99195,             0.87807,            0.015271,            0.013942,            0.011052,            0.001156,            0.001156,            0.001156
                 136,            0.018408,            0.020383,            0.011439,             0.98704,             0.97881,             0.99193,             0.85407,            0.016746,            0.014384,            0.011015,             0.00109,             0.00109,             0.00109
                 137,            0.018005,            0.017619,            0.011859,             0.98727,             0.97893,             0.99191,             0.88902,            0.015504,            0.013841,            0.010972,            0.001024,            0.001024,            0.001024
                 138,            0.017177,            0.017129,            0.011646,              0.9866,             0.97919,             0.99158,              0.8867,            0.014618,            0.013493,             0.01094,            0.000958,            0.000958,            0.000958
                 139,            0.017612,             0.01938,            0.011739,             0.98653,             0.97947,             0.99191,             0.88492,            0.014998,            0.013529,            0.010927,            0.000892,            0.000892,            0.000892
                 140,             0.01766,             0.01935,            0.011546,             0.98468,             0.98077,             0.99138,             0.85024,            0.015646,            0.013865,            0.010894,            0.000826,            0.000826,            0.000826
                 141,            0.018039,            0.018513,            0.011941,              0.9849,             0.97966,              0.9915,             0.88876,            0.014906,            0.013501,            0.010838,             0.00076,             0.00076,             0.00076
                 142,            0.017984,            0.017357,            0.012284,             0.98505,             0.97971,             0.99225,             0.90157,            0.014305,            0.013355,            0.010793,            0.000694,            0.000694,            0.000694
                 143,            0.017264,            0.018099,            0.011767,             0.98645,             0.97975,             0.99253,             0.90189,            0.014657,            0.013506,            0.010752,            0.000628,            0.000628,            0.000628
                 144,            0.016838,             0.01872,            0.011456,             0.98613,             0.97987,             0.99256,             0.91551,            0.014118,            0.013143,            0.010699,            0.000562,            0.000562,            0.000562
                 145,            0.016707,            0.016755,            0.011285,             0.98711,             0.98077,             0.99261,             0.91055,            0.014441,            0.013268,            0.010671,            0.000496,            0.000496,            0.000496
                 146,             0.01727,            0.018156,            0.011889,             0.98778,             0.98131,             0.99259,             0.90831,            0.014043,            0.013189,            0.010651,             0.00043,             0.00043,             0.00043
                 147,            0.016868,            0.017395,            0.011244,             0.98788,             0.98089,             0.99262,             0.89457,            0.014253,            0.013384,            0.010654,            0.000364,            0.000364,            0.000364
                 148,            0.016662,            0.017204,            0.010997,              0.9878,             0.98049,             0.99263,             0.90606,            0.014229,            0.013449,            0.010635,            0.000298,            0.000298,            0.000298
                 149,            0.016761,            0.017965,            0.011154,               0.988,             0.98053,             0.99236,             0.90264,            0.014182,            0.013498,            0.010625,            0.000232,            0.000232,            0.000232
